product,title,rating,body
"Samsung Galaxy Z Fold2 5G Mystic Bronze, 12GB RAM, 256GB Storage",Samsung Z Fold 2 is Masterpiece,5,"One of the best Samsung phones so farBut you have to very careful using this device..But one cons is there,while charging hefty amount they should provide atleast Samsung Buds 😞Multitasking and Flex Mode are great..Samsung Z Fold 2 is Beast"
"Samsung Galaxy Z Fold2 5G Mystic Bronze, 12GB RAM, 256GB Storage",Exceptional mobile which stands out from the crowd,5,Product was excellent.if you can use the mobile with little care and you can shell the asking price this was the best mobile you can buy at any price point.but the the shipping was slow even if i had prebooked the product.
"Samsung Galaxy Z Fold2 5G Mystic Bronze, 12GB RAM, 256GB Storage",Excellent Phone and you pay for the excellence,5,"Great Premium Phone. The concept is great and it is a huge improvement over Fold1.Some Cons/shortcomings - Storage should have been 512GB, No Micro SD Card, should have got free Buds as being given in western countries, feels a bit heavier, no S Pen."
"Samsung Galaxy Z Fold2 5G Mystic Bronze, 12GB RAM, 256GB Storage",The best alternative to life,5,"For 1.5 lac rupees I could have booked a flight to travel to the relatives house and talk with them,for the same amount I could have bought a scooty and visited the near and dear ones to communicate,and could watch movies in theatres with the money to spare. since this covid has not allowed to do all that ,I am grateful for Samsung to launch such phone so that I can experience the movies the chats without the need to step outside.only downside is now o don't have money to eat.but I love the amoled"
"Samsung Galaxy Z Fold2 5G Mystic Bronze, 12GB RAM, 256GB Storage",Completely changes your experience while using a phone,5,"I have been a long time iphone user, but due to the delay in this year's iphone 12 launch and the innovation shown by Samsung with this phone, I made the jump to the Fold 2 this time. I must say that the premium build, large screen and awesome camera has made it truly worth it. Kudos to Samsung for the competitive pricing as well, was expecting this to be launched at ~1.7-1.8 Lakhs. Wherever I take this phone, this turns heads for sure. The large OLED screen is perfect for watching content and it supports HDR on netflix as well. Overall, an awesome product and am loving it!"
"Samsung Galaxy Z Fold2 5G Mystic Bronze, 12GB RAM, 256GB Storage",Performance Powerhouse,5,"Two weeks with this phone, i am not sure if it is ok to call it a phone. It’s a performance powerhouse, i can do all my daily tasks on this phone and i barely feel the need to go back to my laptop wven for processing a document or write a big email.This has really made my day to day working seamless"
"Samsung Galaxy Z Fold2 5G Mystic Bronze, 12GB RAM, 256GB Storage",Premium Flagship,5,I upgraded from samsung fold to samsung z fold 2...its really a better experience to use this gadget.
"Samsung Galaxy Z Fold2 5G Mystic Bronze, 12GB RAM, 256GB Storage",Damaged product not charging via port and does not support sim cards,1,"Under two weeks of usage not able to install sim/esim.Not charging Kindly replace the item,It was with Samsung service service center on November 8"
"Samsung Galaxy Z Fold2 5G Mystic Bronze, 12GB RAM, 256GB Storage",Excellent phone well worth the price,5,"This phone does pretty well to justify its pricetag. The display, cameras, build quality, it's all great.Though there is currently a lack of proper cases for it. That is necessary given how expensive this is."
"Samsung Galaxy Z Fold2 5G Mystic Bronze, 12GB RAM, 256GB Storage",Awesome beast.,5,Awesome phone .....too good and thank god for samsung providing the exonys chipset.A beast phone and one of the best.
